lemma,kind,level,category,translation_zh,keep
tener que,collocation,A1,verb_collocation,必须,1
ir a,collocation,A1,verb_collocation,将要,1
hay que,collocation,A1,verb_collocation,必须（无人称）,1
acabar de,collocation,A1,verb_collocation,刚刚,1
poder,collocation,A1,verb_collocation,能够,1
querer,collocation,A1,verb_collocation,想要，希望,1
deber,collocation,A1,verb_collocation,应该,1
soler,collocation,A1,verb_collocation,通常,1
volver a,collocation,A1,verb_collocation,再次,1
empezar a,collocation,A1,verb_collocation,开始,1
terminar de,collocation,A1,verb_collocation,结束做某事,1
dejar de,collocation,A1,verb_collocation,停止,1
tratar de,collocation,A1,verb_collocation,试图,1
necesitar,collocation,A1,verb_collocation,需要（主动）,1
gustar,collocation,A1,verb_collocation,喜欢,1
encantar,collocation,A1,verb_collocation,非常喜欢,1
interesar,collocation,A1,verb_collocation,感兴趣,1
importar,collocation,A1,verb_collocation,在意,1
parecer,collocation,A1,verb_collocation,看起来,1
costar,collocation,A1,verb_collocation,花费,1
quedar,collocation,A1,verb_collocation,剩下/约定,1
faltar,collocation,A1,verb_collocation,缺少,1
sobrar,collocation,A1,verb_collocation,多余,1
doler,collocation,A1,verb_collocation,疼痛,1
hacer falta,collocation,A1,verb_collocation,缺少，有必要（无人称）,1
tener ganas de,collocation,A1,verb_collocation,想做某事（+不定式）,1
tener prisa,collocation,A1,verb_collocation,匆忙,1
tener razón,collocation,A1,verb_collocation,有道理,1
tener cuidado,collocation,A1,verb_collocation,小心,1
tener éxito,collocation,A1,verb_collocation,成功,1
tener hambre,collocation,A1,verb_collocation,饿,1
tener sed,collocation,A1,verb_collocation,渴,1
tener sueño,collocation,A1,verb_collocation,困,1
tener frío,collocation,A1,verb_collocation,冷,1
tener calor,collocation,A1,verb_collocation,热,1
tener miedo,collocation,A1,verb_collocation,害怕,1
tener vergüenza,collocation,A1,verb_collocation,羞愧,1
tener suerte,collocation,A1,verb_collocation,幸运,1
dar miedo,collocation,A1,verb_collocation,使害怕,1
dar vergüenza,collocation,A1,verb_collocation,使羞愧,1
dar pena,collocation,A1,verb_collocation,使难过,1
dar asco,collocation,A1,verb_collocation,使恶心,1
dar igual,collocation,A1,verb_collocation,无所谓,1
dar la vuelta,collocation,A1,verb_collocation,转身,1
echar de menos,collocation,A1,verb_collocation,想念,1
ponerse a,collocation,A1,verb_collocation,开始做,1
llegar a ser,collocation,A1,verb_collocation,逐渐成为,1
acabar por,collocation,A1,verb_collocation,最终,1
deber de,collocation,A1,verb_collocation,可能,1
conseguir,collocation,A2,verb_collocation,获得,1
lograr,collocation,A2,verb_collocation,实现,1
preferir,collocation,A1,verb_collocation,更喜欢,1
pensar,collocation,A1,verb_collocation,打算,1
esperar,collocation,A1,verb_collocation,希望,1
saber,collocation,A1,verb_collocation,知道,1
conocer,collocation,A1,verb_collocation,认识,1
recordar,collocation,A2,verb_collocation,记得（直接宾语）,1
olvidar,collocation,A2,verb_collocation,忘记（直接宾语）,1
ayudar a,collocation,A1,verb_collocation,帮助,1
invitar a,collocation,A1,verb_collocation,邀请,1
enseñar a,collocation,A1,verb_collocation,教做某事（+不定式）,1
aprender a,collocation,A1,verb_collocation,学会做（+不定式）,1
acostumbrarse a,collocation,A2,verb_collocation,习惯于,1
dedicarse a,collocation,A2,verb_collocation,致力于,1
seguir,collocation,A2,verb_collocation,继续（常配现在分词）,1
continuar,collocation,A2,verb_collocation,持续，继续,1
insistir en,collocation,A2,verb_collocation,坚持,1
consistir en,collocation,A2,verb_collocation,在于,1
pensar en,collocation,A1,verb_collocation,想到，考虑（+en）,1
soñar con,collocation,A2,verb_collocation,梦想,1
contar con,collocation,A2,verb_collocation,依靠,1
depender de,collocation,A2,verb_collocation,取决于,1
quejarse de,collocation,A2,verb_collocation,抱怨,1
olvidarse de,collocation,A2,verb_collocation,把…忘了（+de）,1
acordarse de,collocation,A2,verb_collocation,想起，记起（+de）,1
arrepentirse de,collocation,A2,verb_collocation,后悔,1
tratarse de,collocation,A2,verb_collocation,关于,1
encargarse de,collocation,A2,verb_collocation,负责,1
ocuparse de,collocation,A2,verb_collocation,处理,1
preocuparse por,collocation,A2,verb_collocation,担心,1
interesarse por,collocation,A2,verb_collocation,对...感兴趣,1
enamorarse de,collocation,A2,verb_collocation,爱上,1
casarse con,collocation,A2,verb_collocation,与...结婚,1
divorciarse de,collocation,A2,verb_collocation,与...离婚,1
ponerse de acuerdo,collocation,A2,verb_collocation,达成一致,1
estar a punto de,collocation,A2,fixed_structure,即将,1
hacer caso,collocation,A2,verb_collocation,理会，听从（对人）,1
poner la mesa,collocation,A1,verb_collocation,摆桌子,1
quedar bien,collocation,A2,verb_collocation,合适,1
estar de acuerdo,collocation,A1,verb_collocation,同意（持续状态）,1
hacer daño,collocation,A2,verb_collocation,伤害,1
dar las gracias,collocation,A1,verb_collocation,感谢,1
echar una mano,collocation,A2,verb_collocation,帮忙,1
ponerse nervioso,collocation,A2,verb_collocation,紧张,1
quedarse con,collocation,A2,fixed_structure,保留,1
llevarse bien,collocation,A2,verb_collocation,相处得好,1
hacer el favor de,collocation,A2,fixed_structure,请帮忙,1
dar un paseo,collocation,A1,verb_collocation,散步,1
estar de moda,collocation,A2,verb_collocation,流行,1
poner en práctica,collocation,A2,verb_collocation,实践,1
tener la culpa,collocation,A2,verb_collocation,有错,1
hacer cola,collocation,A1,verb_collocation,排队,1
dar un abrazo,collocation,A1,verb_collocation,拥抱,1
echar un vistazo,collocation,A2,verb_collocation,看一眼,1
poner atención,collocation,A2,verb_collocation,集中注意力,1
quedar en,collocation,A2,fixed_structure,约定,1
llevar a cabo,collocation,A2,fixed_structure,执行,1
hacer deporte,collocation,A1,verb_collocation,做运动,1
dar un beso,collocation,A1,verb_collocation,亲吻,1
estar de viaje,collocation,A2,verb_collocation,旅行,1
poner en marcha,collocation,A2,verb_collocation,启动（使运转）,1
tener en cuenta,collocation,A2,fixed_structure,考虑到，纳入考量,1
hacer la compra,collocation,A1,verb_collocation,购物,1
dar la bienvenida,collocation,A2,verb_collocation,欢迎（动作）,1
echar la culpa,collocation,A2,verb_collocation,责怪,1
poner fin,collocation,A2,verb_collocation,终结，画上句号,1
quedar claro,collocation,A2,verb_collocation,清楚,1
hacer la cama,collocation,A1,verb_collocation,铺床,1
creer,collocation,A1,verb_collocation,相信,1
dar la lata,collocation,A2,verb_collocation,烦扰,1
ponerse en contacto,collocation,A2,verb_collocation,联系,1
ponerse contento,collocation,A2,verb_collocation,高兴,1
ponerse triste,collocation,A2,verb_collocation,悲伤,1
ponerse enfermo,collocation,A2,verb_collocation,生病,1
ponerse rojo,collocation,A2,verb_collocation,脸红,1
ponerse de pie,collocation,A2,verb_collocation,站起来,1
ponerse en fila,collocation,A2,verb_collocation,站成一排,1
ponerse al día,collocation,A2,verb_collocation,更新,1
ponerse en marcha,collocation,A2,verb_collocation,开动，启程（自反）,1
ponerse a prueba,collocation,A2,verb_collocation,考验,1
ponerse en forma,collocation,A2,verb_collocation,健身,1
ponerse en peligro,collocation,A2,verb_collocation,冒险,1
ponerse en camino,collocation,A2,verb_collocation,上路,1
intentar,collocation,A2,verb_collocation,试图，尝试做,1
probar,collocation,A2,verb_collocation,尝试，品尝,1
decidir,collocation,A2,verb_collocation,决定,1
prometer,collocation,A2,verb_collocation,承诺,1
negarse a,collocation,A2,verb_collocation,拒绝,1
darse cuenta de,collocation,A2,verb_collocation,意识到,1
tener miedo de,collocation,A1,verb_collocation,害怕做某事（+不定式）,1
dar la razón,collocation,A1,verb_collocation,承认某人对,1
llegar a,collocation,A2,verb_collocation,抵达，达到,1
alcanzar,collocation,A2,verb_collocation,达到，够得着,1
entender,collocation,A1,verb_collocation,理解,1
comprender,collocation,A1,verb_collocation,明白,1
ponerse + adj,collocation,A2,verb_collocation,变得,1
volverse + adj,collocation,A2,verb_collocation,变成,1
hacerse + adj,collocation,A2,verb_collocation,变成（自然变化）,1
acabar + gerundio,collocation,A2,verb_collocation,最终做,1
seguir + gerundio,collocation,A2,verb_collocation,继续做,1
llevar + gerundio,collocation,A2,verb_collocation,已经做了一段时间（持续）,1
ir + gerundio,collocation,A2,verb_collocation,逐渐做,1
venir + gerundio,collocation,A2,verb_collocation,一直在做（强调延续到现在）,1
estar para,collocation,A2,verb_collocation,准备做,1
estar por,collocation,A2,verb_collocation,尚未做,1
aprender,collocation,A1,verb_collocation,学会，学到,1
enseñar,collocation,A1,verb_collocation,教，展示,1
estudiar,collocation,A1,verb_collocation,学习，攻读,1
trabajar,collocation,A1,verb_collocation,工作,1
vivir,collocation,A1,verb_collocation,生活,1
comer,collocation,A1,verb_collocation,吃,1
beber,collocation,A1,verb_collocation,喝,1
dormir,collocation,A1,verb_collocation,睡觉,1
despertarse,collocation,A1,verb_collocation,醒来,1
levantarse,collocation,A1,verb_collocation,起床,1
acostarse,collocation,A1,verb_collocation,上床睡觉,1
ducharse,collocation,A1,verb_collocation,淋浴,1
vestirse,collocation,A1,verb_collocation,穿衣,1
lavarse,collocation,A1,verb_collocation,洗,1
peinarse,collocation,A1,verb_collocation,梳头,1
mirar,collocation,A1,verb_collocation,看,1
ver,collocation,A1,verb_collocation,看见,1
escuchar,collocation,A1,verb_collocation,听,1
hablar,collocation,A1,verb_collocation,说话,1
decir,collocation,A1,verb_collocation,说,1
preguntar,collocation,A1,verb_collocation,问,1
responder,collocation,A1,verb_collocation,回答,1
dar,collocation,A1,verb_collocation,给,1
recibir,collocation,A1,verb_collocation,收到,1
comprar,collocation,A1,verb_collocation,买,1
vender,collocation,A1,verb_collocation,卖,1
pagar,collocation,A1,verb_collocation,支付,1
parecerse a,collocation,A2,verb_collocation,像,1
echarse a,collocation,A2,verb_collocation,开始（哭/笑）,1
bastar con,collocation,A2,verb_collocation,足够,1
tardar en,collocation,A2,verb_collocation,花费时间,1
meterse en,collocation,A2,verb_collocation,介入,1
fijarse en,collocation,A2,verb_collocation,留意到，注意到,1
enterarse de,collocation,A2,verb_collocation,得知,1
hablar de,collocation,A1,verb_collocation,谈论,1
desear,collocation,A1,verb_collocation,渴望,1
tener que ver con,collocation,A1,verb_collocation,与...有关,1
dar gusto,collocation,A1,verb_collocation,使高兴,1
hacer ilusión,collocation,A1,verb_collocation,使兴奋,1
llevar,collocation,A1,verb_collocation,携带,1
tener,collocation,A1,verb_collocation,有（拥有）,1
haber,collocation,A1,verb_collocation,有（存在，hay）,1
ser,collocation,A1,verb_collocation,是（本质属性）,1
estar,collocation,A1,verb_collocation,在,1
hacer,collocation,A1,verb_collocation,做,1
hola,phrase,A1,greetings,你好,1
buenos días,phrase,A1,greetings,早上好,1
buenas tardes,phrase,A1,greetings,下午好,1
buenas noches,phrase,A1,greetings,晚上好/晚安,1
adiós,phrase,A1,greetings,再见,1
hasta luego,phrase,A1,greetings,一会儿见,1
hasta mañana,phrase,A1,greetings,明天见,1
nos vemos,phrase,A1,greetings,回见,1
mucho gusto,phrase,A1,greetings,很高兴认识你,1
encantado,phrase,A1,greetings,很高兴认识你（男性）,1
encantada,phrase,A1,greetings,很高兴认识你（女性）,1
¿cómo estás?,phrase,A1,greetings,你好吗？,1
bien,phrase,A1,greetings,好,1
muy bien,phrase,A1,greetings,很好,1
gracias,phrase,A1,courtesy_phrases,谢谢,1
muchas gracias,phrase,A1,courtesy_phrases,非常感谢,1
de nada,phrase,A1,courtesy_phrases,不客气,1
por favor,phrase,A1,courtesy_phrases,请,1
perdón,phrase,A1,courtesy_phrases,对不起/打扰了,1
disculpe,phrase,A1,courtesy_phrases,对不起（正式）,1
lo siento,phrase,A1,courtesy_phrases,对不起,1
sí,phrase,A1,courtesy_phrases,是的，对（应答）,1
no,phrase,A1,courtesy_phrases,不,1
vale,phrase,A1,courtesy_phrases,好的,1
de acuerdo,phrase,A1,courtesy_phrases,好的，同意（应答用）,1
clase,phrase,A1,classroom_phrases,班级/课堂,1
profesor,phrase,A1,classroom_phrases,老师（男性）,1
profesora,phrase,A1,classroom_phrases,老师（女性）,1
alumno,phrase,A1,classroom_phrases,学生（男性）,1
alumna,phrase,A1,classroom_phrases,学生（女性）,1
libro,phrase,A1,classroom_phrases,书,1
cuaderno,phrase,A1,classroom_phrases,笔记本,1
bolígrafo,phrase,A1,classroom_phrases,圆珠笔,1
lápiz,phrase,A1,classroom_phrases,铅笔,1
pizarra,phrase,A1,classroom_phrases,黑板,1
mesa,phrase,A1,classroom_phrases,桌子,1
silla,phrase,A1,classroom_phrases,椅子,1
puerta,phrase,A1,classroom_phrases,门,1
ventana,phrase,A1,classroom_phrases,窗户,1
hoy,phrase,A1,common_time_place_phrases,今天,1
mañana,phrase,A1,common_time_place_phrases,明天/早上,1
ayer,phrase,A1,common_time_place_phrases,昨天,1
ahora,phrase,A1,common_time_place_phrases,现在,1
después,phrase,A1,common_time_place_phrases,之后,1
antes,phrase,A1,common_time_place_phrases,之前,1
aquí,phrase,A1,common_time_place_phrases,这里,1
allí,phrase,A1,common_time_place_phrases,那里,1
casa,phrase,A1,common_time_place_phrases,家,1
escuela,phrase,A1,common_time_place_phrases,学校,1
¿qué tal?,phrase,A1,greetings,怎么样？,1
"muy bien, gracias",phrase,A1,courtesy_phrases,很好，谢谢,1
disculpa,phrase,A1,courtesy_phrases,抱歉/打扰一下,1
igualmente,phrase,A1,courtesy_phrases,我也一样,1
¿cómo te llamas?,phrase,A1,classroom_phrases,你叫什么名字？,1
me llamo...,phrase,A1,classroom_phrases,我叫...,1
¿de dónde eres?,phrase,A1,classroom_phrases,你从哪里来？,1
soy de...,phrase,A1,classroom_phrases,我来自...,1
¿qué significa?,phrase,A1,classroom_phrases,什么意思？,1
no entiendo,phrase,A1,classroom_phrases,我不明白,1
"repite, por favor",phrase,A1,classroom_phrases,请重复一遍,1
más despacio,phrase,A1,classroom_phrases,慢一点,1
¿cómo se dice...?,phrase,A1,classroom_phrases,...怎么说？,1
¿puedo ir al baño?,phrase,A1,classroom_phrases,我可以去洗手间吗？,1
tengo una pregunta,phrase,A1,classroom_phrases,我有一个问题,1
más tarde,phrase,A1,common_time_place_phrases,稍后,1
temprano,phrase,A1,common_time_place_phrases,早,1
tarde,phrase,A1,common_time_place_phrases,晚/下午,1
noche,phrase,A1,common_time_place_phrases,晚上,1
día,phrase,A1,common_time_place_phrases,天/日,1
semana,phrase,A1,common_time_place_phrases,星期/周,1
mes,phrase,A1,common_time_place_phrases,月,1
año,phrase,A1,common_time_place_phrases,年,1
cerca,phrase,A1,common_time_place_phrases,近,1
lejos,phrase,A1,common_time_place_phrases,远,1
derecha,phrase,A1,common_time_place_phrases,右（方向名词）,1
izquierda,phrase,A1,common_time_place_phrases,左（方向名词）,1
enfrente,phrase,A1,common_time_place_phrases,对面,1
detrás,phrase,A1,common_time_place_phrases,后面,1
al lado,phrase,A1,common_time_place_phrases,旁边,1
encima,phrase,A1,common_time_place_phrases,上面,1
debajo,phrase,A1,common_time_place_phrases,下面,1
entre,phrase,A1,common_time_place_phrases,在...之间,1
¿y tú?,phrase,A1,greetings,你呢？,1
señor,phrase,A1,courtesy_phrases,先生,1
señora,phrase,A1,courtesy_phrases,女士,1
señorita,phrase,A1,courtesy_phrases,小姐,1
con permiso,phrase,A1,courtesy_phrases,借过,1
¿cómo se dice?,phrase,A1,classroom_phrases,怎么说？,1
"más despacio, por favor",phrase,A1,classroom_phrases,请慢一点,1
"repita, por favor",phrase,A1,classroom_phrases,请重复,1
¿cómo se escribe?,phrase,A1,classroom_phrases,怎么写？,1
la tarea,phrase,A1,classroom_phrases,作业,1
el examen,phrase,A1,classroom_phrases,考试,1
la mañana,phrase,A1,common_time_place_phrases,早上,1
la tarde,phrase,A1,common_time_place_phrases,下午,1
la clase,phrase,A1,common_time_place_phrases,教室/课,1
el baño,phrase,A1,common_time_place_phrases,洗手间,1
la biblioteca,phrase,A1,common_time_place_phrases,图书馆,1
el parque,phrase,A1,common_time_place_phrases,公园,1
más o menos,phrase,A1,greeting,一般般,1
¿qué hay?,phrase,A1,greeting,有什么新鲜事？,1
¿cómo te va?,phrase,A1,greeting,你怎么样？,1
¿qué pasa?,phrase,A1,greeting,发生什么事了？,1
mucho placer,phrase,A1,greeting,很高兴,1
bienvenido,phrase,A1,greeting,欢迎（形容词/招呼）,1
"silencio, por favor",phrase,A1,classroom,请安静,1
repitan,phrase,A1,classroom,重复,1
lean,phrase,A1,classroom,读,1
escriban,phrase,A1,classroom,写,1
abran el libro,phrase,A1,classroom,打开书,1
cierren el libro,phrase,A1,classroom,合上书,1
levanten la mano,phrase,A1,classroom,举手,1
siéntense,phrase,A1,classroom,坐下,1
vengan aquí,phrase,A1,classroom,过来这里,1
pasen a la pizarra,phrase,A1,classroom,到黑板前来,1
¿qué significa...?,phrase,A1,classroom,...是什么意思？,1
salud,phrase,A1,courtesy_phrases,干杯,1
feliz cumpleaños,phrase,A1,courtesy_phrases,生日快乐,1
feliz año nuevo,phrase,A1,courtesy_phrases,新年快乐,1
feliz navidad,phrase,A1,courtesy_phrases,圣诞快乐,1
buen provecho,phrase,A1,courtesy_phrases,请慢用,1
regular,phrase,A1,greetings,还行,1
mal,phrase,A1,greetings,不好,1
¿y usted?,phrase,A1,greetings,您呢？,1
hasta pronto,phrase,A1,greetings,回头见,1
chao,phrase,A1,greetings,再见（非正式）,1
¿puedo abrir la ventana?,phrase,A1,classroom_phrases,我可以开窗吗？,1
¿puedo cerrar la puerta?,phrase,A1,classroom_phrases,我可以关门吗？,1
¿puede repetir?,phrase,A1,classroom_phrases,您能重复一遍吗？,1
¿qué página?,phrase,A1,classroom_phrases,哪一页？,1
¿cuándo es el examen?,phrase,A1,classroom_phrases,考试是什么时候？,1
¿cuál es la tarea?,phrase,A1,classroom_phrases,作业是什么？,1
¿a qué hora es la clase?,phrase,A1,classroom_phrases,课是几点？,1
¿cómo está?,phrase,A1,greetings,您好吗？,1
no importa,phrase,A1,courtesy_phrases,没关系,1
¿cómo se dice... en español?,phrase,A1,classroom_phrases,...用西班牙语怎么说？,1
¿en qué página estamos?,phrase,A1,classroom_phrases,我们在哪一页？,1
en silencio,phrase,A1,classroom_phrases,安静,1
atención,phrase,A1,classroom_phrases,注意！（用于提示）,1
¿qué hora es?,phrase,A1,common_time_place_phrases,几点了？,1
es la una,phrase,A1,common_time_place_phrases,一点钟,1
son las dos,phrase,A1,common_time_place_phrases,两点钟,1
en la clase,phrase,A1,common_time_place_phrases,在教室里,1
¿cuántos años tienes?,phrase,A1,greetings,你几岁？,1
tengo... años,phrase,A1,greetings,我...岁,1
hoy en día,phrase,A1,common_time_place_phrases,如今,1
por la mañana,phrase,A1,common_time_place_phrases,在早上,1
por la tarde,phrase,A1,common_time_place_phrases,在下午,1
por la noche,phrase,A1,common_time_place_phrases,在晚上,1
en clase,phrase,A1,classroom_phrases,在课堂上,1
la página,phrase,A1,classroom_phrases,页,1
a la izquierda,phrase,A1,common_time_place_phrases,在左边,1
a la derecha,phrase,A1,common_time_place_phrases,在右边,1
enfrente de,phrase,A1,common_time_place_phrases,在...对面,1
claro,phrase,A1,courtesy_phrases,当然（口语）,1
no pasa nada,phrase,A1,courtesy_phrases,没事儿（口语）,1
por supuesto,phrase,A1,courtesy_phrases,当然，没问题,1
el ejercicio,phrase,A1,classroom_phrases,练习,1
la semana que viene,phrase,A1,common_time_place_phrases,下周,1
el mes pasado,phrase,A1,common_time_place_phrases,上个月,1
el año que viene,phrase,A1,common_time_place_phrases,明年,1
al lado de,phrase,A1,common_time_place_phrases,在...旁边,1
detrás de,phrase,A1,common_time_place_phrases,在...后面,1
delante de,phrase,A1,common_time_place_phrases,在...前面,1
encima de,phrase,A1,common_time_place_phrases,在...上面,1
debajo de,phrase,A1,common_time_place_phrases,在...下面,1
cerca de,phrase,A1,common_time_place_phrases,在...附近,1
lejos de,phrase,A1,common_time_place_phrases,远离,1
en el centro,phrase,A1,common_time_place_phrases,在市中心,1
en las afueras,phrase,A1,common_time_place_phrases,在郊区,1
al final de,phrase,A1,common_time_place_phrases,在...尽头,1
al principio de,phrase,A1,common_time_place_phrases,在...开头,1
en la esquina,phrase,A1,common_time_place_phrases,在拐角处,1
en la parada,phrase,A1,common_time_place_phrases,在车站,1
en la estación,phrase,A1,common_time_place_phrases,在火车站,1
en el aeropuerto,phrase,A1,common_time_place_phrases,在机场,1
en la playa,phrase,A1,common_time_place_phrases,在海滩,1
en el campo,phrase,A1,common_time_place_phrases,在乡下,1
en la ciudad,phrase,A1,common_time_place_phrases,在城市,1
en el pueblo,phrase,A1,common_time_place_phrases,在村庄,1
en la montaña,phrase,A1,common_time_place_phrases,在山上,1
en el mar,phrase,A1,common_time_place_phrases,在海里,1
en la calle,phrase,A1,common_time_place_phrases,在街上,1
en la plaza,phrase,A1,common_time_place_phrases,在广场,1
en el parque,phrase,A1,common_time_place_phrases,在公园,1
en el museo,phrase,A1,common_time_place_phrases,在博物馆,1
en el cine,phrase,A1,common_time_place_phrases,在电影院,1
en el teatro,phrase,A1,common_time_place_phrases,在剧院,1
estar hasta las narices,idiom,A2,everyday,忍无可忍,1
hacer la vista gorda,idiom,A2,everyday,视而不见,1
irse por las ramas,idiom,A2,everyday,跑题，拐弯抹角,1
meter la pata,idiom,A1,everyday,犯错，出丑,1
no tener pelos en la lengua,idiom,A2,everyday,直言不讳,1
ponerse las pilas,idiom,A2,everyday,打起精神，加油,1
ser pan comido,idiom,A1,everyday,小菜一碟,1
tomar el pelo,idiom,A1,everyday,开玩笑，捉弄,1
caer bien/mal,idiom,A1,everyday,给人好/坏印象,1
estar de buen humor,idiom,A1,everyday,心情好,1
valer la pena,idiom,A1,everyday,值得,1
estar de vuelta,idiom,A1,everyday,回来了,1
hacer las paces,idiom,A2,everyday,和好,1
dar un consejo,idiom,A1,everyday,给建议,1
estar de broma,idiom,A2,everyday,开玩笑,1
hacer el ridículo,idiom,A2,everyday,出洋相,1
estar de mal humor,idiom,A1,everyday,心情不好,1
hacer un favor,idiom,A1,everyday,帮个忙,1
hacer una pregunta,idiom,A1,everyday,提问,1
dar un salto,idiom,A1,everyday,跳一下,1
estar de fiesta,idiom,A1,everyday,在聚会,1
dar en el clavo,idiom,A2,idiom,说到点子上,1
estar en las nubes,idiom,A2,idiom,心不在焉,1
costar un ojo de la cara,idiom,A2,idiom,价格昂贵,1
no dar pie con bola,idiom,A2,idiom,一事无成,1
poner cara de póker,idiom,A2,idiom,面无表情,1
quedarse de piedra,idiom,A2,idiom,目瞪口呆,1
sacar las castañas del fuego,idiom,A2,idiom,替人解围,1
tener mala leche,idiom,A2,idiom,脾气坏,1
ver todo de color de rosa,idiom,A2,idiom,乐观看待,1
andar con rodeos,idiom,A2,idiom,拐弯抹角,1
estar al loro,idiom,A2,idiom,保持警觉（口语）,1
hacer buenas migas,idiom,A2,idiom,相处融洽,1
irse la olla,idiom,A2,idiom,糊涂,1
no pegar ojo,idiom,A2,idiom,睡不着,1
poner el grito en el cielo,idiom,A2,idiom,大声抗议,1
quedarse en blanco,idiom,A2,idiom,脑子一片空白,1
ser un cero a la izquierda,idiom,A2,idiom,无足轻重,1
tener mano izquierda,idiom,A2,idiom,有手腕,1
venir como anillo al dedo,idiom,A2,idiom,恰到好处,1
abrir la caja de los truenos,idiom,A2,idiom,引发麻烦,1
dar la vuelta a la tortilla,idiom,A2,idiom,扭转局面,1
estar en el ajo,idiom,A2,idiom,参与其中,1
hacer de tripas corazón,idiom,A2,idiom,鼓起勇气,1
irse al traste,idiom,A2,idiom,失败,1
no tener ni idea,idiom,A2,idiom,一无所知,1
poner los puntos sobre las íes,idiom,A2,idiom,明确说明,1
quitarse un peso de encima,idiom,A2,idiom,如释重负,1
ser la oveja negra,idiom,A2,idiom,害群之马,1
tener la sartén por el mango,idiom,A2,idiom,掌握主动权,1
a buenas horas,idiom,A2,idiom,太晚了,1
dar la cara,idiom,A2,idiom,面对,1
estar como una cabra,idiom,A2,idiom,疯了,1
hacer el agosto,idiom,A2,idiom,大赚一笔,1
irse de la lengua,idiom,A2,idiom,说漏嘴,1
no dar crédito,idiom,A2,idiom,难以置信,1
saber de buena tinta,idiom,A2,idiom,从可靠渠道得知,1
tener un humor de perros,idiom,A2,idiom,心情很糟,1
estar en la luna,idiom,A2,idiomatic,走神,1
ser la leche,idiom,A2,idiomatic,太棒了/太糟了,1
ser un trozo de pan,idiom,A2,idiomatic,心地善良,1
poner el dedo en la llaga,idiom,A2,idiomatic,触及痛处,1
ser un lince,idiom,A2,idiomatic,眼尖,1
no ver tres en un burro,idiom,A2,idiomatic,视力差,1
poner una pica en flandes,idiom,A2,idiomatic,完成壮举,1
ser un paquete,idiom,A2,idiomatic,笨手笨脚,1
dar gato por liebre,idiom,A2,idiomatic,以次充好,1
ser un gallina,idiom,A2,idiomatic,胆小,1
no tener abuela,idiom,A2,idiomatic,自夸,1
